"Business_ID","Name","Address","City","Latitude","Longitude","Grade"
"PR0082813","1000 SPIRITS","1225 1ST AVE","SEATTLE","47.60653938","-122.33822298","1"
"PR0085848","100 LB CLAM","1001 FAIRVIEW AVE N Unit 1700A","SEATTLE","47.62902129","-122.33172694","1"
"PR0089941","100TH AVE CAKES","15364 NE 96TH PL","REDMOND","47.68723042","-122.13372924","1"
"PR0071992","108 VIETNAMESE AUTHENTIC  CUISINE","18114 E VALLEY HWY","KENT","47.439923","-122.219347","3"
"PR0006149","11TH FRAME RESTAURANT & LOUNGE","7638 NE BOTHELL WAY ","KENMORE","47.757874821","-122.2376817618","2"
"PR0044084","12TH AVE CAFE","775 NW GILMAN BL STE G","ISSAQUAH","47.543325","-122.050321","2"
"PR0004264","13 COINS","18000 INTERNATIONAL BLVD BL S","SEATAC","47.4415898055","-122.2957679697","3"
"PR0016978","13 COINS BELLEVUE","900 BELLEVUE WAY NE ","Bellevue","47.6182817801","-122.2010294576","3"
"PR0087276","13 COINS RESTAURANT","255 S KING ST","SEATTLE","47.59788682","-122.3310251","3"
"PR0003061","14 CARROT CAFE","2305 EASTLAKE AVE E ","SEATTLE","47.6398598066","-122.3261014499","2"
"PR0003602","1928 Tap and Grill","1102 4TH AVE ","SEATTLE","47.6071018452","-122.3334820092","2"
"PR0088266","19 GOLD","3601 FREMONT AVE N STE 101","SEATTLE","47.65169662","-122.35031342","2"
"PR0076371","1 HOTEL SEATTLE","2125 TERRY AVE","SEATTLE","47.61818975","-122.33709248","1"
"PR0092121","1 OAK SANDWICHES (KC1222)","1101 OUTLET COLLECTION WAY SW STE 1321","AUBURN","47.300227","-122.2470737","2"
"PR0088112","203 DEGREES FAHRENHEIT COFFEE","11901 NE VILLAGE PL STE 171","KIRKLAND","47.71251","-122.18017","1"
"PR0090075","203 DEGREES FAHRENHEIT CORP","610 TERRY AVE N STE 170","SEATTLE","47.62529931","-122.33683306","1"
"PR0081817","206 BURGER CO","1401 BROADWAY","SEATTLE","47.6131603112","-122.321069774","2"
"PR0077121","206 BURGER COMPANY","101 NICKERSON ST STE A","SEATTLE","47.6483705082","-122.3552638709","1"
"PR0085852","20 CORNERS BREWING CO.","14148 NE 190TH ST","WOODINVILLE","47.76796122","-122.15207937","2"
"PR0086799","2120","2120 6TH AVE","SEATTLE","47.61577714","-122.34014335","1"
"PR0046920","212TH CHEVRON","8315 S 212TH ST ","Kent","47.4116301242","-122.2288157022","1"
"PR0082317","21 ACRES MARKET","13701 NE 171ST ST","WOODINVILLE","47.75016748","-122.15709552","1"
"PR0069504","23RD & CHERRY FELLOWSHIP HALL","2701 E CHERRY ST ","SEATTLE","47.6077428096","-122.297552399","1"
"PR0054520","2-4-6-8","4512 KLAHANIE DR SW ","SAMMAMISH","47.565659","-122.005731","2"
"PR0084895","2C THAIBISTRO & SPIRITS","12506 LAKE CITY WAY NE","SEATTLE","47.71955074","-122.29474176","2"
"PR0087100","2 FINGERS  SOCIAL","9211 DELRIDGE WAY SW","SEATTLE","47.52059619","-122.35831426","2"
"PR0091735","32 BELOW SOFT SERVE + BUBBLE TEA","17054 116TH AVE SE","RENTON","47.45030019","-122.18536341","1"
"PR0005117","365 MART 12702","12702 RENTON AVE S ","SEATTLE","47.4901239508","-122.2379240326","2"
