Item,Address,Latitude,Longitude
0,"2746 NE 45TH ST, SEATTLE, WA 98105, USA",47.6621552,-122.2964032
1,"1906 N 34TH ST, SEATTLE, WA 98103, USA",47.6481547,-122.3345878
2,"2125 TERRY AVE, SEATTLE, WA 98121, USA",47.6182484,-122.3374281
3,"1001 FAIRVIEW AVE N, 1700A, SEATTLE, WA 98109, USA",,
4,"1225 1ST AVE, SEATTLE, WA 98101, USA",47.6066387,-122.3383038
5,"15364 NE 96TH PL, REDMOND, WA 98052, USA",47.6870248,-122.1343502
6,"18114 E VALLEY HWY, KENT, WA 98032, USA",47.4399068,-122.2210309
7,"7638 NE BOTHELL WAY, KENMORE, WA 98028, USA",47.7577588,-122.2376299
8,"775 NW GILMAN BLVD, STE G, ISSAQUAH, WA 98027, USA",,
9,"18000 INTERNATIONAL BLVD BLVD S, SEATAC, WA 98188, USA",,
10,"900 BELLEVUE WAY NE, Bellevue, WA 98004, USA",47.6182444,-122.1999667
11,"255 S KING ST, SEATTLE, WA 98104, USA",47.5978862,-122.3309887
12,"2305 EASTLAKE AVE E, SEATTLE, WA 98102, USA",47.6399433,-122.3260931
13,"3601 FREMONT AVE N, 101, SEATTLE, WA 98103, USA",47.6515391,-122.3504629
14,"1102 4TH AVE, SEATTLE, WA 98101, USA",47.6070851,-122.3335699
15,"7729 RAINIER AVE S, SEATTLE, WA 98118, USA",47.5327753,-122.270324
16,"9211 DELRIDGE WAY SW, SEATTLE, WA 98106, USA",47.5206083,-122.358351
17,"19600 144TH AVE NE, WOODINVILLE, WA 98072, USA",47.7695619,-122.1476588
18,"4512 KLAHANIE DR SW, SAMMAMISH, WA 98029, USA",,
19,"14148 NE 190TH ST, WOODINVILLE, WA 98072, USA",47.7650665,-122.1510149
20,"11901 NE VILLAGE PL, 171, KIRKLAND, WA 98034, USA",,
21,"610 TERRY AVE N, 170, SEATTLE, WA 98109, USA",,
22,"1329 N 45TH ST, 109, SEATTLE, WA 98103, USA",,
23,"1401 BROADWAY, SEATTLE, WA 98122, USA",47.6131116,-122.3209687
24,"101 NICKERSON ST, A, SEATTLE, WA 98109, USA",,
